gene_name,logFC
MAPK4,-4.520596904792165
CORO2A,-1.6781216686578049
NBEA,3.0140406308594643
CCDC181,2.8207902212400087
NOG,-3.4168661868410575
SH3BP1,-1.3885373604092397
TMEM102,-1.665841175372708
RTN4RL2,2.797570950560369
ADAMTS2,5.632052405882774
COMTD1,-1.640117707368994
ENOX2,-1.3413328666774313
TNFRSF19,2.390335996331764
CSDC2,2.4221846443272352
PLK3,-1.5373129566042625
THBD,-3.328283537870841
VCAM1,5.929257985463941
FLVCR2,2.3315873625154406
TBL1X,3.1601017673867915
CCN5,3.302299164647306
SALL2,1.7954736827723101
ZNF114,-2.521523832106836
YBX3,-1.158078452646771
KIAA1217,-1.921564510722338
ITM2C,1.3640187000638913
FBXO6,-1.8657115721902169
TAB3,-1.4833829349052312
RAB6B,1.4405062690437713
NIPAL1,-2.0681403969708723
TNFAIP1,-1.6317323384385534
